video,start,end,label,split,notes
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",100.00,108.00,,train,CANDIDATE score=13.21 people=3 — watch and label or delete
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",90.00,98.00,,train,CANDIDATE score=10.82 people=2 — watch and label or delete
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",95.00,103.00,,train,CANDIDATE score=10.72 people=2 — watch and label or delete
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",85.00,93.00,,train,CANDIDATE score=8.62 people=2 — watch and label or delete
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",105.00,110.00,,train,CANDIDATE score=7.93 people=3 — watch and label or delete
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",62.00,70.00,,train,CANDIDATE score=6.23 people=2 — watch and label or delete
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",67.00,72.00,,train,CANDIDATE score=5.87 people=2 — watch and label or delete
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",11.00,18.00,,train,CANDIDATE score=3.98 people=2 — watch and label or delete
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",1.00,5.00,normal,train,auto-negative score=0.00 — confirm nothing happens here
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",16.00,24.00,normal,train,auto-negative score=0.00 — confirm nothing happens here
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",23.00,30.00,normal,train,auto-negative score=0.00 — confirm nothing happens here
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",33.00,40.00,normal,train,auto-negative score=0.00 — confirm nothing happens here
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",49.00,53.00,normal,train,auto-negative score=0.00 — confirm nothing happens here
"videos/Weird street crimes in Uganda caught on camera by the police - My adventures in Uganda (360p, h264).mp4",72.00,76.00,normal,train,auto-negative score=0.00 — confirm nothing happens here
